wavelength_nm,warm_2700k,cool_6500k
380,0.0,0.0
390,1.7504611235609474e-05,9.807581361926096e-06
400,0.00374461728467172,0.0017911124246012284
410,0.007904006454180984,0.006190533052648955
420,0.04034370849998847,0.029641015377218687
430,0.1410948725966967,0.13353815891583748
440,0.32102946030139373,0.47360415211852214
450,0.40113800764972024,1.0
460,0.14752964745681352,0.3771556043975931
470,0.07778143057179325,0.1552755074246991
480,0.05625873086918526,0.06664228383485754
490,0.08517725477319112,0.05800097090941187
500,0.1794351068872344,0.10061277339864394
510,0.308265271079314,0.1644570357945434
520,0.4264407690417249,0.21894542435928346
530,0.51205417844597,0.25461779961779524
540,0.5783035958479663,0.2727652333404962
550,0.6440646677433826,0.2813219173025411
560,0.7194504714965032,0.2831109504672011
570,0.8083956038307245,0.27893639135770243
580,0.9032127513544033,0.27035384631196707
590,0.9716345596634399,0.25500550926026005
600,1.0,0.23382803633975568
610,0.981308959733315,0.21147602974673946
620,0.9261618685367786,0.1847101334611958
630,0.8473301533076908,0.1583832207837724
640,0.7515024905446087,0.1340754624676174
650,0.651900324284375,0.11160768167946383
660,0.546835108508646,0.090639314887871
670,0.4635970400346945,0.07415255003593961
680,0.3807908823359482,0.06047815223559786
690,0.30627011709974894,0.046742724873583844
700,0.2471455324560432,0.03739793317808382
710,0.0,0.0
720,0.0,0.0
730,0.0,0.0
740,0.0,0.0
750,0.0,0.0
760,0.0,0.0
770,0.0,0.0
780,0.0,0.0
