wavelength_nm,relative_intensity
380,0.7428560364515324
390,0.7428560364515324
400,0.7428560364515324
410,0.7428560364515324
420,0.7428560364515324
430,0.5968279199538965
440,0.8061504597746705
450,0.9812794492095177
460,0.9553496062388409
470,0.9366450139666674
480,1.0
490,0.9869958031066769
500,0.9377509687271574
510,0.9521235062526406
520,0.9147299605892879
530,0.9590075247612964
540,0.9024153956903819
550,0.9315730449137463
560,0.8978649784175302
570,0.8761748676343797
580,0.8872731051207917
590,0.8243039903352771
600,0.8577312486289129
610,0.8504423414840954
620,0.8539871930217677
630,0.8092743177648415
640,0.8145886514515581
650,0.786229821438162
660,0.7845748751249617
670,0.7729573511409604
680,0.7584843531340024
690,0.6478302829691873
700,0.674958801901711
710,0.674958801901711
720,0.674958801901711
730,0.674958801901711
740,0.674958801901711
750,0.674958801901711
760,0.674958801901711
770,0.674958801901711
780,0.674958801901711
